strain,phage,interaction
ECOR46,LF73_P4,0
NILS42,LF73_P4,1
NILS52,LF73_P4,1
ECOR48,LF73_P4,1
NILS23,LF73_P4,1
H14,LF73_P4,0
ROAR400,LF73_P4,0
NILS49,LF73_P4,0
NILS24,LF73_P4,0
H4,LF73_P4,1
H48,LF73_P4,0
ECOR34,LF73_P4,1
ECOR32,LF73_P4,1
ECOR33,LF73_P4,1
ECOR30,LF73_P4,0
ECOR29,LF73_P4,0
ECOR67,LF73_P4,0
NILS02,LF73_P4,0
ECOR26,LF73_P4,0
ECOR27,LF73_P4,0
ECOR28,LF73_P4,0
ECOR45,LF73_P4,0
55989,LF73_P4,0
NILS33,LF73_P4,1
ECOR69,LF73_P4,0
ECOR58,LF73_P4,0
ECOR72,LF73_P4,0
NILS47,LF73_P4,0
ECOR70,LF73_P4,0
ECOR71,LF73_P4,1
NILS15,LF73_P4,0
NILS48,LF73_P4,1
NILS34,LF73_P4,1
NILS40,LF73_P4,0
ECOR11,LF73_P4,1
NILS09,LF73_P4,1
NILS30,LF73_P4,1
NILS32,LF73_P4,1
NILS06,LF73_P4,0
NILS22,LF73_P4,0
NILS16,LF73_P4,1
NILS35,LF73_P4,1
ECOR10,LF73_P4,0
ECOR12,LF73_P4,0
ECOR25,LF73_P4,0
NILS13,LF73_P4,1
NILS10,LF73_P4,1
NILS07,LF73_P4,0
NILS14,LF73_P4,1
ECOR13,LF73_P4,1
NILS11,LF73_P4,1
ECOR14,LF73_P4,1
NILS08,LF73_P4,0
ECOR21,LF73_P4,0
ECOR20,LF73_P4,0
ECOR18,LF73_P4,0
ECOR19,LF73_P4,0
NILS17,LF73_P4,1
NILS12,LF73_P4,1
ECOR23,LF73_P4,0
NILS41,LF73_P4,1
BL21,LF73_P4,1
ECOR17,LF73_P4,0
NILS03,LF73_P4,0
ECOR22,LF73_P4,0
ECOR16,LF73_P4,0
NILS04,LF73_P4,0
ECOR15,LF73_P4,1
NILS43,LF73_P4,1
NILS37,LF73_P4,1
ECOR24,LF73_P4,1
ROAR274,LF73_P4,0
